Easting,Northing,Name,T/A,Grant Number,Driller,Date Drilled,Abstraction Volume per day,District,Borehole Depth,Static Water Level,Yield l/s,Status,Functionality,Permanent Casing Diameter,Type of Pump Installed,Water Point Use,Licenced,Well Development Duration,Pump Capacity,Pump Installed Depth,Main Water Strike Depth (MBGL),DWL,Turbidity,Temp,Conductivity,pH,Alkalinity,Hardness,Calcium,Magnesium,Sodium,Potassium,Carbonate,Bicarbonate,Sulphate,Nitrate,Ammonium,Iron,Manganese,Flouride,Dissolved_Solids,Chlorine,Suspended_Solids,Facaeal,E. Coli
552893,8495273,Mkuwila 1,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552914,8489373,Msaka,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552982,8487196,Kalumbi,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553098,8489080,Thumba,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553160,8496657,Kaphenila,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553178,8492499,Mbangala,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553178,8511456,Nkanile primary school,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553196,8490575,Galauza,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553218,8490842,Ngoko,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553372,8491940,Chiziri primary school,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
